arm_account_mode,scheduled_decisions,executed,after_cost_terminal_equity_pre_financing_jpy,after_cost_net_pre_financing_jpy,profit_factor_pre_financing,expectancy_pre_financing_jpy,max_realized_sequence_drawdown_jpy,max_equity_drawdown_within_trade_jpy,max_open_risk_jpy,minimum_margin_excess_jpy,peak_broker_margin_jpy,peak_double_gross_margin_jpy,recovery_rate,median_recovery_seconds,max_recovery_seconds,median_holding_seconds,unrecovered_rate,unresolved_inventory_count,margin_closeout_count,margin_closeout_rate,profit_only_original_close_ratio,repeated_hedge_count,netting_reduction_events,estimated_spread_plus_slippage_jpy,cost_ratio_to_gross_profit,turnover_notional_jpy,original_realized_jpy,hedge_realized_jpy,original_terminal_mtm_jpy,hedge_terminal_mtm_jpy,unknown_financing_count,accounting_status,opportunities_per_observed_weekday,projected_200_trade_net_pre_financing_jpy,decision
D_NO_SL_HEDGE_RETURN_100::HEDGING,200,50,286652.47831249866,32443.459812498775,1.6953555035220185,648.8691962499755,21411.39178500016,18965.725845000008,18127.546799999895,199925.04014650016,40420.04468700001,80435.88744,0.94,35100.0,597840.0,56670.0,0.12,6,0,0.0,0.8936170212765957,19,0,8470.086975000755,0.10707962067403519,96903631.1224,58048.06096999893,31041.083147499736,-39061.70932499987,-16869.6964,26,NOT_EVALUABLE_FINANCING,0.25,129773.8392499951,REJECT
D_NO_SL_HEDGE_RETURN_100::NETTING,200,50,246622.89626749943,-7586.122232500557,0.8812630251081625,-151.72244465001114,16490.940042500326,8802.726200000063,6609.331675000017,208703.28663900003,40055.19531,40055.19531,0.62,17640.0,232440.0,21630.0,0.0,0,0,0.0,0.62,0,19,6258.98134500039,0.11116402217408258,74553727.630025,-7067.167432500539,0.0,0.0,0.0,10,NOT_EVALUABLE_FINANCING,0.25,-30344.48893000223,NOT_EVALUABLE
E_NO_SL_PARTIAL_PROFIT_BE::HEDGING,200,50,276120.0300499998,21911.01154999993,1.5905473530394378,438.2202309999986,21807.611525000073,15652.043250000017,15310.003349999919,198464.84272800005,40420.04468700001,40420.04468700001,0.0,,,16140.0,0.06,3,0,0.0,1.0,0,0,6120.584025000064,0.1037142809258387,71994629.3821125,59497.8080249999,0.0,-37067.84167499995,0.0,15,NOT_EVALUABLE_FINANCING,0.25,87644.04619999972,REJECT
E_NO_SL_PARTIAL_PROFIT_BE::NETTING,200,50,276120.0300499998,21911.01154999993,1.5905473530394378,438.2202309999986,21807.611525000073,15652.043250000017,15310.003349999919,198464.84272800005,40420.04468700001,40420.04468700001,0.0,,,16140.0,0.06,3,0,0.0,1.0,0,0,6120.584025000064,0.1037142809258387,71994629.3821125,59497.8080249999,0.0,-37067.84167499995,0.0,15,NOT_EVALUABLE_FINANCING,0.25,87644.04619999972,REJECT
F_NO_SL_MULTI_PAIR_ROTATION::HEDGING,200,48,243799.31063249958,-10409.70786750045,0.8784156759136263,-216.86891390625937,37969.24640999996,21417.54352499993,19898.620349999972,197073.9532540001,40420.04468700001,40420.04468700001,0.875,26490.0,617040.0,36120.0,0.125,6,0,0.0,1.0,0,0,5641.822005000278,0.07501676742219847,66338387.392975,75634.40729749955,0.0,-85544.70372499998,0.0,22,NOT_EVALUABLE_FINANCING,0.24,-43373.78278125187,REJECT
F_NO_SL_MULTI_PAIR_ROTATION::NETTING,200,48,243799.31063249958,-10409.70786750045,0.8784156759136263,-216.86891390625937,37969.24640999996,21417.54352499993,19898.620349999972,197073.9532540001,40420.04468700001,40420.04468700001,0.875,26490.0,617040.0,36120.0,0.125,6,0,0.0,1.0,0,0,5641.822005000278,0.07501676742219847,66338387.392975,75634.40729749955,0.0,-85544.70372499998,0.0,22,NOT_EVALUABLE_FINANCING,0.24,-43373.78278125187,REJECT
H1_LOCK_AT_ADVERSE_LEVEL_AND_WAIT_025::HEDGING,200,50,248408.73839999986,-5800.280100000251,0.8475148631519692,-116.00560200000503,8695.05024000036,5758.993152499956,3650.4497749998923,210718.34778900017,40420.04468700001,80840.08937400002,0.94,18120.0,506880.0,19380.0,0.06,3,0,0.0,0.8723404255319149,33,0,10299.48615000049,0.31948228504017084,116618739.086,35189.92513749927,-34467.75955499969,-39061.70932499987,33402.25842500007,14,NOT_EVALUABLE_FINANCING,0.25,-23201.120400001004,REJECT
H1_LOCK_AT_ADVERSE_LEVEL_AND_WAIT_025::NETTING,200,50,254350.0791849997,141.06068499967603,1.0043948259411712,2.8212136999935207,7288.409764999989,4241.9938749999565,2148.2390999999016,212468.99722499994,40049.68954350001,40049.68954350001,0.34,9480.0,23880.0,7590.0,0.0,0,0,0.0,0.34,0,33,6292.068090000215,0.1951752021164198,74530831.14575,660.0154849996936,0.0,0.0,0.0,0,EVALUABLE,0.25,564.2427399987041,DIAGNOSTIC_ONLY
H1_LOCK_AT_ADVERSE_LEVEL_AND_WAIT_050::HEDGING,200,50,254360.26539999933,151.24689999931843,1.0031072284408484,3.024937999986369,11854.383077500184,7075.957122499909,4965.857049999869,209752.45685400013,40420.04468700001,80840.08937400002,0.94,27780.0,597840.0,29490.0,0.06,3,0,0.0,0.8723404255319149,24,0,9156.289650000695,0.18752486614079716,103356758.8148,50738.89710999881,-41278.203864999625,-39061.70932499987,30519.941074999988,21,NOT_EVALUABLE_FINANCING,0.25,604.9875999972737,REJECT
H1_LOCK_AT_ADVERSE_LEVEL_AND_WAIT_050::NETTING,200,50,257499.27662999975,3290.258129999701,1.0722549084905248,65.80516259999402,11463.61836750008,5502.916824999935,3409.1620499998667,211556.940396,40055.19531,40055.19531,0.52,15180.0,232440.0,14940.0,0.0,0,0,0.0,0.52,0,24,6273.018870000177,0.12847420394738043,74530932.852575,3809.212929999719,0.0,0.0,0.0,4,NOT_EVALUABLE_FINANCING,0.25,13161.032519998804,NOT_EVALUABLE
H1_LOCK_AT_ADVERSE_LEVEL_AND_WAIT_100::HEDGING,200,50,240957.31851249895,-13251.699987501082,0.8094808024364937,-265.0339997500217,19907.423012500367,9783.828075000056,7674.506349999985,207085.28919900014,40420.04468700001,80840.08937400002,0.94,35100.0,597840.0,37470.0,0.06,3,0,0.0,0.8936170212765957,19,0,8566.395375000944,0.15214535927307576,95936395.0546,58048.06096999893,-55252.35942750003,-39061.70932499987,23728.586374999904,24,NOT_EVALUABLE_FINANCING,0.25,-53006.79995000434,REJECT
H1_LOCK_AT_ADVERSE_LEVEL_AND_WAIT_100::NETTING,200,50,246622.89626749943,-7586.122232500557,0.8812630251081625,-151.72244465001114,16490.940042500326,8802.726200000063,6609.331675000017,208703.28663900003,40055.19531,40055.19531,0.62,17640.0,232440.0,21630.0,0.0,0,0,0.0,0.62,0,19,6258.98134500039,0.11116402217408258,74553727.630025,-7067.167432500539,0.0,0.0,0.0,10,NOT_EVALUABLE_FINANCING,0.25,-30344.48893000223,NOT_EVALUABLE
H1_LOCK_AT_ADVERSE_LEVEL_AND_WAIT_150::HEDGING,200,50,237155.6532549992,-17053.365245000823,0.790172433285844,-341.0673049000165,29616.10199750052,11956.525199999975,11599.613999999881,202339.1138040001,40420.04468700001,80840.08937400002,0.92,31650.0,597840.0,37470.0,0.08,4,0,0.0,0.9130434782608695,15,0,7596.226020000683,0.11828466780214135,90001338.6227,64829.63496249909,-51425.90943749987,-56998.08442499989,27220.70229999986,24,NOT_EVALUABLE_FINANCING,0.25,-68213.46098000329,REJECT
H1_LOCK_AT_ADVERSE_LEVEL_AND_WAIT_150::NETTING,200,50,241428.97287999955,-12780.04562000042,0.8340252002363564,-255.60091240000838,26656.479912500363,10945.27680000005,10603.236899999956,203360.177262,40231.47660300001,40231.47660300001,0.7,21600.0,273960.0,26760.0,0.0,0,0,0.0,0.7,0,15,6312.68517000033,0.09829800565530383,74567254.62522501,-12261.090820000403,0.0,0.0,0.0,18,NOT_EVALUABLE_FINANCING,0.25,-51120.18248000168,NOT_EVALUABLE
H2_HEDGE_TP_KEEP_ORIGINAL_025::HEDGING,200,50,249839.50130999964,-4369.517190000446,0.9452113123412069,-87.39034380000892,42321.197349999944,26625.824049999937,24306.12040000003,190896.1049190001,40420.04468700001,80110.39062,0.94,18120.0,506880.0,92160.0,0.14,7,0,0.0,0.8723404255319149,33,0,10351.225140000426,0.13731572990429994,115729946.5115,35189.92513749927,48993.62683000028,-39061.70932499987,-48628.365050000095,28,NOT_EVALUABLE_FINANCING,0.25,-17478.068760001785,REJECT
H2_HEDGE_TP_KEEP_ORIGINAL_025::NETTING,200,50,254350.0791849997,141.06068499967603,1.0043948259411712,2.8212136999935207,7288.409764999989,4241.9938749999565,2148.2390999999016,212468.99722499994,40049.68954350001,40049.68954350001,0.34,9480.0,23880.0,7590.0,0.0,0,0,0.0,0.34,0,33,6292.068090000215,0.1951752021164198,74530831.14575,660.0154849996936,0.0,0.0,0.0,0,EVALUABLE,0.25,564.2427399987041,DIAGNOSTIC_ONLY
H2_HEDGE_TP_KEEP_ORIGINAL_050::HEDGING,200,50,277647.45158249885,23438.433082498974,1.4212763191597675,468.7686616499795,23344.660785000073,18965.725845000008,18148.799749999987,196849.29722499996,40420.04468700001,80066.78177400002,0.94,27780.0,597840.0,65760.0,0.1,5,0,0.0,0.8723404255319149,24,0,9067.641555000335,0.1146711839734918,104289681.653225,50738.89710999881,36470.987367500034,-39061.70932499987,-23942.06397500002,26,NOT_EVALUABLE_FINANCING,0.25,93753.7323299959,REJECT
H2_HEDGE_TP_KEEP_ORIGINAL_050::NETTING,200,50,257499.27662999975,3290.258129999701,1.0722549084905248,65.80516259999402,11463.61836750008,5502.916824999935,3409.1620499998667,211556.940396,40055.19531,40055.19531,0.52,15180.0,232440.0,14940.0,0.0,0,0,0.0,0.52,0,24,6273.018870000177,0.12847420394738043,74530932.852575,3809.212929999719,0.0,0.0,0.0,4,NOT_EVALUABLE_FINANCING,0.25,13161.032519998804,NOT_EVALUABLE
H2_HEDGE_TP_KEEP_ORIGINAL_100::HEDGING,200,50,286652.47831249866,32443.459812498775,1.6953555035220185,648.8691962499755,21411.39178500016,18965.725845000008,18127.546799999895,199925.04014650016,40420.04468700001,80435.88744,0.94,35100.0,597840.0,56670.0,0.12,6,0,0.0,0.8936170212765957,19,0,8470.086975000755,0.10707962067403519,96903631.1224,58048.06096999893,31041.083147499736,-39061.70932499987,-16869.6964,26,NOT_EVALUABLE_FINANCING,0.25,129773.8392499951,REJECT
H2_HEDGE_TP_KEEP_ORIGINAL_100::NETTING,200,50,246622.89626749943,-7586.122232500557,0.8812630251081625,-151.72244465001114,16490.940042500326,8802.726200000063,6609.331675000017,208703.28663900003,40055.19531,40055.19531,0.62,17640.0,232440.0,21630.0,0.0,0,0,0.0,0.62,0,19,6258.98134500039,0.11116402217408258,74553727.630025,-7067.167432500539,0.0,0.0,0.0,10,NOT_EVALUABLE_FINANCING,0.25,-30344.48893000223,NOT_EVALUABLE
H2_HEDGE_TP_KEEP_ORIGINAL_150::HEDGING,200,50,258994.51081749928,4785.492317499361,1.0671263338383956,95.70984634998722,30445.00953750062,20337.02489500004,19898.620349999972,200069.0344340001,40420.04468700001,80658.06466200002,0.92,31650.0,597840.0,47220.0,0.16,8,0,0.0,0.9130434782608695,15,0,7721.6589450005295,0.10149884105392859,91096126.26975,64829.63496249909,21184.085450000162,-56998.08442499989,-23550.435024999984,25,NOT_EVALUABLE_FINANCING,0.25,19141.969269997444,REJECT
H2_HEDGE_TP_KEEP_ORIGINAL_150::NETTING,200,50,241428.97287999955,-12780.04562000042,0.8340252002363564,-255.60091240000838,26656.479912500363,10945.27680000005,10603.236899999956,203360.177262,40231.47660300001,40231.47660300001,0.7,21600.0,273960.0,26760.0,0.0,0,0,0.0,0.7,0,15,6312.68517000033,0.09829800565530383,74567254.62522501,-12261.090820000403,0.0,0.0,0.0,18,NOT_EVALUABLE_FINANCING,0.25,-51120.18248000168,NOT_EVALUABLE
H3_HEDGE_PARTIAL_TP_REHEDGE_025::HEDGING,200,50,278951.5448062493,24742.526306249467,1.4282809314863711,494.8505261249893,27898.719854999857,19742.596475000028,18306.97155000009,196771.83153899986,40420.04468700001,80110.39062,0.94,18120.0,506880.0,125610.0,0.14,7,0,0.0,0.8723404255319149,48,0,12212.830237500717,0.14800874633700226,138805847.003975,35189.92513749927,61650.54607875022,-39061.70932499987,-32021.028350000073,29,NOT_EVALUABLE_FINANCING,0.25,98970.10522499785,REJECT
H3_HEDGE_PARTIAL_TP_REHEDGE_025::NETTING,200,50,254350.0791849997,141.06068499967603,1.0043948259411712,2.8212136999935207,7288.409764999989,4241.9938749999565,2148.2390999999016,212468.99722499994,40049.68954350001,40049.68954350001,0.34,9480.0,23880.0,7590.0,0.0,0,0,0.0,0.34,0,33,6292.068090000215,0.1951752021164198,74530831.14575,660.0154849996936,0.0,0.0,0.0,0,EVALUABLE,0.25,564.2427399987041,DIAGNOSTIC_ONLY
H3_HEDGE_PARTIAL_TP_REHEDGE_050::HEDGING,200,50,299513.01703624916,45303.99853624924,2.0516648931132595,906.0799707249847,18239.613264999964,18533.686925000075,18148.799749999987,196849.29722499996,40420.04468700001,80202.40803000002,0.94,27780.0,597840.0,104160.0,0.14,7,0,0.0,0.8723404255319149,42,0,11391.083182500552,0.12888412813859104,129196523.884725,50738.89710999881,52401.116691250274,-39061.70932499987,-17818.977149999973,27,NOT_EVALUABLE_FINANCING,0.25,181215.99414499695,REJECT
H3_HEDGE_PARTIAL_TP_REHEDGE_050::NETTING,200,50,257499.27662999975,3290.258129999701,1.0722549084905248,65.80516259999402,11463.61836750008,5502.916824999935,3409.1620499998667,211556.940396,40055.19531,40055.19531,0.52,15180.0,232440.0,14940.0,0.0,0,0,0.0,0.52,0,24,6273.018870000177,0.12847420394738043,74530932.852575,3809.212929999719,0.0,0.0,0.0,4,NOT_EVALUABLE_FINANCING,0.25,13161.032519998804,NOT_EVALUABLE
H3_HEDGE_PARTIAL_TP_REHEDGE_100::HEDGING,200,50,300415.40430249856,46206.38580249857,2.289480075957899,924.1277160499712,19251.113420000125,16001.267904999928,18049.878524999862,201216.31864900014,40420.04468700001,80547.12476400002,0.94,35100.0,597840.0,56670.0,0.16,8,0,0.0,0.8936170212765957,31,0,10042.838085000873,0.12241432116729667,115280644.49322501,58048.06096999893,39731.451604999536,-39061.70932499987,-11671.933237499994,26,NOT_EVALUABLE_FINANCING,0.25,184825.54320999424,REJECT
